ANO,codigo_municipio,municipio,codigo_microrregiao,microrregiao,amazonia_legal,"Valor adicionado bruto da Agropecuária, a preços correntes (R$ 1.000)",valor_industria,valor_servicos,valor_administracao_publica,valor_total,impostos,pib,pib_per_capita,principal_atividade,segunda_atividade,terceira_atividade
2010,1500107,Abaetetuba,15011,Cametá,Sim,71932.591,31239.975,201654.938,241973.245,546800.749,36992.704,583793.453,4138.79,"Administração, defesa, educação e saúde públicas e seguridade social",Demais serviços,Comércio e reparação de veículos automotores e motocicletas
2010,1500131,Abel Figueiredo,15017,Paragominas,Sim,22231.703,3926.601,10937.579,14547.786,51643.669,1955.029,53598.698,7891.45,"Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita","Pecuária, inclusive apoio à pecuária"
2010,1500206,Acará,15012,Tomé-Açu,Sim,225732.825,47125.179,51364.283,106767.078,430989.365,9778.087,440767.452,8222.51,"Agricultura, inclusive apoio à agricultura e a pós colheita","Administração, defesa, educação e saúde públicas e seguridade social",Demais serviços
2010,1500305,Afuá,15005,Furos de Breves,Sim,55457.345,9664.908,20205.317,72154.605,157482.176,3810.983,161293.159,4606.14,"Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços
2010,1500347,Água Azul do Norte,15019,Parauapebas,Sim,62260.357,46264.869,17439.59,40876.202,166841.018,14032.234,180873.251,7217.32,"Pecuária, inclusive apoio à pecuária",Indústrias de transformação,"Administração, defesa, educação e saúde públicas e seguridade social"
2010,1500404,Alenquer,15002,Santarém,Sim,170231.936,22086.768,62026.56,99358.436,353703.7,8109.046,361812.746,6863.69,"Agricultura, inclusive apoio à agricultura e a pós colheita","Administração, defesa, educação e saúde públicas e seguridade social",Demais serviços
2010,1500503,Almeirim,15003,Almeirim,Sim,38369.579,321313.118,96868.747,72693.351,529244.794,47622.61,576867.404,17135.52,Indústrias extrativas,Indústrias de transformação,Demais serviços
2010,1500602,Altamira,15015,Altamira,Sim,111658.386,116091.274,348287.733,191487.598,767524.991,74882.878,842407.869,8020.64,Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Comércio e reparação de veículos automotores e motocicletas
2010,1500701,Anajás,15005,Furos de Breves,Sim,25525.525,4981.748,14065.946,47639.889,92213.108,3162.721,95375.829,3850.3,"Administração, defesa, educação e saúde públicas e seguridade social","Produção florestal, pesca e aquicultura",Demais serviços
2010,1500800,Ananindeua,15007,Belém,Sim,8836.13,670904.363,2171688.607,748824.426,3600253.526,500259.121,4100512.646,8692.24,Demais serviços,Comércio e reparação de veículos automotores e motocicletas,"Administração, defesa, educação e saúde públicas e seguridade social"
2010,1500859,Anapu,15015,Altamira,Sim,37292.546,13496.959,18354.677,38227.45,107371.632,4179.859,111551.491,5443.39,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária",Demais serviços
